name,role,country,bio
Chawki Jaballi,Head of the Customs Capacity Building and Training · AfCFTA,🇬🇭,
James Nganga,Principal Ports and Maritime Transport Officer · AfDB,🇨🇮,
Aicha Nono,Principal Investment Officer · AfDB,🇨🇮,
Yousra Khayati,Investment Director · Africa50,🇲🇦,
Safall Fall,Associate Director - Infrastructure · Forvis Mazars,🇲🇦,
Musah Sibiri Hamidu,Deputy Chief Executive Officer (Finance & Administration) · Ghana Free Zones Authority,🇬🇭,
Justice Awosonviri Akodia,Corporate Monitoring Manager & ISO Coordinator · Ghana Ports and Harbours Authority,🇬🇭,
Ayoboni Akindolie,Investment Officer · IFC,🇬🇭,
Charles Adebier,Senior Investment Officer · IFC,🇬🇭,
Oussama Chougrani,Founder & Lead · iolabs,🇲🇦,
Kwasi Amano Awuku,Manager · KPMG,🇬🇭,
Dominique Lafont,CEO · Lafont Africa Corporation,🇫🇷,
Stephen Ikua,CEO · LAPSSET,🇰🇪,
Charles Osafo,Assistant Stakeholder Engagements Manager · Meridian Port Services Ltd,🇬🇭,
Hon. Joseph Bukari Nikpe,Minister of Transport · Ministry of Transport,🇬🇭,
Mohamed Samara,General Director · MPS - Port of Tema,🇬🇭,
Dr Arthur Minsat,Chef d'unité Afrique Europe et Moyen-Orient - Économiste senior · OCDE,🇫🇷,
Col André Ciseau,Secretary General · PMAESA,🇰🇪,
Bart Van Eenoo,Directeur Général · Port Autonome de Cotonou,🇧🇯,
d'Almeida Bilabina Abiré,Directrice de l'Exploitation · Port Autonome de Lomé,🇹🇬,
Maria Ogbugo,Project Development Coordinator · Prime Meridian Docks,🇬🇭,
Yankuba Askia Bio,Director General · Sierra Leone Ports and Harbours Authority,🇸🇱,
Amine Malti,Directeur Études Maritimes et Portuaires & Océanographie · Tanger Med,🇲🇦,
Nasser Tlassellal,Directeur Général · Tanger Med Engineering,🇲🇦,
Adil Raissouni,Directeur Digital Planning · Tanger Med Engineering,🇲🇦,
Oussama Boushaba,Directeur Gestion d'Assets & Solutions Numériques · Tanger Med Engineering,🇲🇦,
Tidiane Edouard Boye,Représentant · Unido,🇨🇮,
Ndeye D. D. Gueye,Transport Specialist · World Bank,🇬🇭,
Akua Timpabi,World Bank,🇬🇭,
