name,role,country,interests
Souleymane Abdoulaye Wardougou,Directeur Général Adjoint · AAZES,🇹🇩,"Invité, Ports & Logistique"
Chawki Jaballi,Head of the Customs Capacity Building and Training · AfCFTA,🇬🇭,"Intervenant, Ports & Logistique"
James Nganga,Principal Ports and Maritime Transport Officer · AfDB,🇨🇮,"Intervenant, Ports & Logistique"
Aicha Nono,Principal Investment Officer · AfDB,🇨🇮,"Intervenant, Ports & Logistique"
Yousra Khayati,Investment Director · Africa50,🇲🇦,"Intervenant, Ports & Logistique"
Tella Adewale,Technical Sales Manager · ArcelorMittal Project,🇳🇬,"Inscrit, Ports & Logistique"
Redouane Mihramane,Directeur Général · Bénin Manutentions,🇧🇯,"Partenaire, Ports & Logistique"
Nour-Eddine Ouakka,Directeur Commercial & Marketing · Bénin Manutentions,🇧🇯,"Partenaire, Ports & Logistique"
Gildas Segla,Directeur Financier & Comptable · Bénin Manutentions,🇧🇯,"Partenaire, Ports & Logistique"
Iriss Suzel Amoussou,Chargée de Communication & RSE · Bénin Manutentions,🇧🇯,"Partenaire, Ports & Logistique"
Christophe Debeuf,Business Development Manager - Africa · Besix,🇧🇪,"Inscrit, Ports & Logistique"
Abdelghani Moustaid,Responsable de l'activité internationale · CID,🇲🇦,"Inscrit, Ports & Logistique"
Lahoucine Adjar,Chef de Division Aménagements Maritimes et Portuaires · CID,🇲🇦,"Inscrit, Ports & Logistique"
Omar El Ghaouti,Country General Manager · CIMAF,🇬🇭,"Partenaire, Ports & Logistique"
Joseph Kobina Aboo,Deputy General Manager · CIMAF,🇬🇭,"Partenaire, Ports & Logistique"
Daniel Akorful,Head of Logistics · CIMAF,🇬🇭,"Partenaire, Ports & Logistique"
Eric Mamy Andriamachiharivony,Technical Director · CIMAF,🇬🇭,"Partenaire, Ports & Logistique"
Abdelaziz Mounji,Finance Director · CIMAF,🇬🇭,"Partenaire, Ports & Logistique"
Houmad El Ouazzani,Cires Technologies,🇲🇦,"Partenaire, Ports & Logistique"
Awuni Ali Dib,Ingénieur · Dar Al Handasah Consultants,🇬🇭,"Inscrit, Ports & Logistique"
Ibrahim Kalil Toure,Entrepreneur · EATP SARL,🇲🇱,"Inscrit, Ports & Logistique"
Joffray Loussouarn,Business Development Director · Eiffage Génie Civil International & Marine,🇫🇷,"Inscrit, Ports & Logistique"
Aristide Zongo,Flying Whales,🇫🇷,"Inscrit, Ports & Logistique"
Safall Fall,Associate Director - Infrastructure · Forvis Mazars,🇲🇦,"Intervenant, Ports & Logistique"
Musah Sibiri Hamidu,Deputy Chief Executive Officer (Finance & Administration) · Ghana Free Zones Authority,🇬🇭,"Intervenant, Ports & Logistique"
Hanatu Abubakar-Bimi Hajia,Director Administration · Ghana Free Zones Authority,🇬🇭,"Invité, Ports & Logistique"
Afua Tekyi Mills,Deputy Director - Head of Marketing and Communication · Ghana Investment Promotion Centre,🇬🇭,"Invité, Ports & Logistique"
Sheila Tamakloe,Senior Investment Promotion Officer - Marketing and Comms · Ghana Investment Promotion Centre,🇬🇭,"Invité, Ports & Logistique"
Elohin Princess Yartey,Investment Promotion Officer · Ghana Investment Promotion Centre,🇬🇭,"Invité, Ports & Logistique"
Justice Awosonviri Akodia,Corporate Monitoring Manager & ISO Coordinator · Ghana Ports and Harbours Authority,🇬🇭,"Intervenant, Ports & Logistique"
Ayoboni Akindolie,Investment Officer · IFC,🇬🇭,"Intervenant, Ports & Logistique"
Charles Adebier,Senior Investment Officer · IFC,🇬🇭,"Intervenant, Ports & Logistique"
Oussama Chougrani,Founder & Lead · iolabs,🇲🇦,"Intervenant, Ports & Logistique"
Edward Kamau,General Manager Corporate Services · Kenya Port Authority,🇰🇪,"Invité, Ports & Logistique"
Aza Nassir,Personal Assistant to the Managing Director · Kenya Port Authority,🇰🇪,"Inscrit, Ports & Logistique"
Ali Hammo,Accountant · Kenya Port Authority,🇰🇪,"Inscrit, Ports & Logistique"
Samuel Kaptum,Assistant Human Resources Officer · Kenya Port Authority,🇰🇪,"Inscrit, Ports & Logistique"
Irene Kurgat,Administrative Officer - Housekeeping · Kenya Port Authority,🇰🇪,"Inscrit, Ports & Logistique"
Kwasi Amano Awuku,Manager · KPMG,🇬🇭,"Intervenant, Ports & Logistique"
Jeremiah Addo,Manager · KPMG,🇬🇭,"Invité, Ports & Logistique"
Daniel Amponsah Asante,KPMG,🇬🇭,"Invité, Ports & Logistique"
Michael Narh,KPMG,🇬🇭,"Invité, Ports & Logistique"
Dominique Lafont,CEO · Lafont Africa Corporation,🇫🇷,"Intervenant, Ports & Logistique"
Stephen Ikua,CEO · LAPSSET,🇰🇪,"Intervenant, Ports & Logistique"
Nelius Njoroge,Assistant Director Admin · LAPSSET,🇰🇪,"Invité, Ports & Logistique"
Anandh Swaminathan,Head of Division - Liebherr Maritime · Liebherr Ghana Ltd,🇬🇭,"Inscrit, Ports & Logistique"
Cedrique Boko,Chef d'entreprise · Marine Solutions Sarl,🇧🇯,"Inscrit, Ports & Logistique"
Mehdi Menouar,Business Development / Investments Manager · Marsa Maroc,🇲🇦,"Partenaire, Ports & Logistique"
Fatima Zahra Hrar,Chef du Département Communication & RSE · Marsa Maroc,🇲🇦,"Partenaire, Ports & Logistique"
Najwa Aboudahab,Chef du Département Investissement · Marsa Maroc,🇲🇦,"Partenaire, Ports & Logistique"
Reda Moukhli,Directeur Général · Marsa Maroc International Logistics,🇲🇦,"Partenaire, Ports & Logistique"
Tichou Quassi Mensah,General Manager · Medlog Ghana,🇬🇭,"Inscrit, Ports & Logistique"
Charles Osafo,Assistant Stakeholder Engagements Manager · Meridian Port Services Ltd,🇬🇭,"Intervenant, Ports & Logistique"
Hon. Joseph Bukari Nikpe,Minister of Transport · Ministry of Transport,🇬🇭,"Intervenant, Ports & Logistique"
Frank Ebo Brown,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Charles Osafo,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Agnes Ayesu-Amedorme,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Leonora Akpey,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Yaw Annor-Anim,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Davina Agyemang,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Laure Ngombi,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Olivier Caslin,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Bridget Hackman,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Josephine Biney,MPS,🇬🇭,"Partenaire, Ports & Logistique"
Mohamed Samara,General Director · MPS - Port of Tema,🇬🇭,"Intervenant, Ports & Logistique"
Garmy Sy,Managing Director · MSC Ghana Limited,🇬🇭,"Inscrit, Ports & Logistique"
Dominic Ayi,Operations Director · MSC Ghana Limited,🇬🇭,"Inscrit, Ports & Logistique"
Khalid Dahbi,Directeur Gérant · Novus Africa,🇲🇦,"Inscrit, Ports & Logistique"
Dr Arthur Minsat,Chef d'unité Afrique Europe et Moyen-Orient - Économiste senior · OCDE,🇫🇷,"Intervenant, Ports & Logistique"
Col André Ciseau,Secretary General · PMAESA,🇰🇪,"Intervenant, Ports & Logistique"
Karifala Fofana,Conseiller technique du DG · Port Autonome de Conakry,🇬🇳,"Invité, Ports & Logistique"
Sory Magassouba,Directeur de la coopération · Port Autonome de Conakry,🇬🇳,"Invité, Ports & Logistique"
Lancei Doumbouya,Cadre Direction Coopération · Port Autonome de Conakry,🇬🇳,"Invité, Ports & Logistique"
