"name","role","country","bio"
"Gilles Beugré","ANSUT","🌍",""
"Isaac Gnamba","ARTCI","🌍",""
"Serge Kouamélan","APBEF-CI","🌍",""
"Alex Sea","Alliance Fintech UEMOA","🌍",""
"Ago Christian Kodia","ONECI","🌍",""
"Youssef Berrada","S2M","🌍",""
"Cheick Cissoko","WAVE","🌍",""
"Séraphin Yobouet","APIF-CI","🌍",""
"Stephane Tchriffo","Maître de cérémonie","🌍",""
"Mohamed Douayou","ATM View","🌍",""
"Kadio Kassy Uriel William","ARTCI","🌍",""
"Alfred Ali","CERGI SA","🌍",""
"Fatima Coulibaly","Ecobank Transnational Incorporated","🌍",""
"Ilyas Berrajaa","BPC Banking Technologies","🌍",""
"Mohamed Fofana","BNI","🌍",""
"Luc Adjaho","GIM-UEMOA","🌍",""
"Gildas Aymard Milandou","AFG Holding","🌍",""
"Jacques Tanoh","ANSSI","🌍",""
"Salime Toure","ANSUT","🌍",""
"Ghislain Yabo","Forvis Mazars","🌍",""
"Alexandre Adrian","Advanthink","🌍",""
"Charles Mounet","Credit Access","🌍",""
"Assetou Diaby","Versus Bank","🌍",""
"Kandas Camara","Côte d'Ivoire Fintech Association","🌍",""
"Joseph Oyetola","Ecobank Côte d'Ivoire","🌍",""
"Patrice Brou","APIF CI","🌍",""
"Ahmed Khalil","S2M","🌍",""
