"name","role","country","bio"
"Talla Hervé Awui","IPDCP Togo","🌍",""
"Matina Gaël Egbidi","Solimi, TogoTech","🌍",""
"Joyce Homawoo","Ecobank Togo","🌍",""
"Nesse Dally Tetteh Edoh","APSFD Togo","🌍",""
"Amah Vinyo Capo","ARCEP Togo","🌍",""
"Youssef Berrada","S2M","🌍",""
"Togbe Agbagla","Agence Togo Digital","🌍",""
"Lawson Michel Aziafa Latévi","Moov Africa","🌍",""
"Edem Adjamagbo","SEMOA, TogoTech","🌍",""
"Stephane Tchriffo","Maître de cérémonie","🌍",""
"Capitaine Silété Devo","ANID","🌍",""
"Mehdi Harraq","Dataprotect","🌍",""
"Ilyas Berrajaa","BPC Banking Technologies","🌍",""
"Alexandre Adrian","Advanthink","🌍",""
"Affo Kossi","Wages Togo","🌍",""
"Soufiane Adnani","Dataprotect","🌍",""
"Sefa Husunukpe","Mixx Togo","🌍",""
"Abdel Biyao","Coris Bank International Togo","🌍",""
